#ra (deg)
#___ right ascension (J2000 decimal deg)
#dec (deg)
#___ declination (J2000 decimal deg)
#err_maj (arcsec)
#___ major axis of 1-sigma error ellipse
#err_min (arcsec)
#___ minor axis of 1-sigma error ellipse
#err_ang (deg)
#___ angle of error ellipse major axis (E of N)
#designation
#___ source designation formed from sexigesimal coordinates
#j_m (mag)
#___ J band selected "default" magnitude
#j_cmsig (mag)
#___ corrected J band photometric uncertainty
#j_msigcom (mag)
#___ combined (total) J band photometric uncertainty
#j_snr
#___ J band "scan" signal-to-noise ratio
#h_m (mag)
#___ H band selected "default" magnitude
#h_cmsig (mag)
#___ corrected H band photometric uncertainty
#h_msigcom (mag)
#___ combined (total) H band photometric uncertainty
#h_snr
#___ H band "scan" signal-to-noise ratio
#k_m (mag)
#___ K band selected "default" magnitude
#k_cmsig (mag)
#___ corrected K band photometric uncertainty
#k_msigcom (mag)
#___ combined (total) K band photometric uncertainty
#k_snr
#___ K band "scan" signal-to-noise ratio
#ph_qual
#___ flag indicating photometric quality of source
#rd_flg
#___ source of JHK "default" mags (AKA "read flag")
#bl_flg
#___ indicates # JHK components fit simultaneously to source
#cc_flg
#___ indicates JHK artifact contamination and/or confusion
#ndet
#___ number of >3-sig. ap. mag measurements, # possible (jjhhkk)
#gal_contam
#___ flag indicating if src is contaminated by extended source
#mp_flg
#___ src is positionally associated with an asteroid, comet, etc
#j_h ->  Reference:    Input column(s): j_m, h_m, k_m, rd_flg
#h_k ->  Reference:    Input column(s): j_m, h_m, k_m, rd_flg
#j_k ->  Reference:    Input column(s): j_m, h_m, k_m, rd_flg
ra,dec,j_m,h_m,k_m
274.429506,-13.870547,16.305,14.048,13.257
274.423821,-13.86974,14.802,12.635,11.768
274.424587,-13.739629,16.328,14.345,13.405
274.433933,-13.769502,16.281,14.057,12.956
274.437013,-13.885698,15.171,14.412,13.742
274.433996,-13.752446,16.54,14.519,13.604
274.418138,-13.77215,17.98,14.61,13.456
274.433695,-13.899049,13.011,10.917,10.013
274.425482,-13.77149,16.086,13.709,12.503
274.433057,-13.784866,18.027,15.332,14.122
274.435762,-13.801015,17.148,14.585,13.81
274.438109,-13.860178,15.146,14.522,13.981
274.425594,-13.847384,16.391,15.85,15.47
274.431318,-13.76623,18.032,15.064,13.603
274.42949,-13.852222,12.84,10.839,10.066
274.428117,-13.82475,16.112,13.987,12.955
274.425499,-13.802707,16.289,14.166,13.339
274.431606,-13.781877,13.87,13.406,13.365
274.431202,-13.740436,14.448,14.003,13.91
274.433361,-13.892246,15.151,13.37,12.599
274.426056,-13.829556,16.085,14.724,13.881
274.425066,-13.806432,16.064,13.554,12.332
274.420529,-13.816547,18.14,15.072,14.31
274.426694,-13.788548,16.351,14.167,13.056
274.421593,-13.77148,16.042,14.364,13.331
274.427483,-13.768612,14.423,13.926,13.744
274.43155,-13.883111,15.702,13.725,12.908
274.4263,-13.834606,16.212,13.733,12.909
274.426193,-13.809029,16.311,13.846,12.694
274.432195,-13.723433,13.843,11.363,10.243
274.435515,-13.780978,17.304,15.731,14.645
274.429849,-13.838672,15.726,13.911,13.025
274.431399,-13.816272,15.215,14.509,14.063
274.431675,-13.784094,16.109,14.148,13.781
274.427993,-13.829856,13.307,12.919,12.795
274.432066,-13.792327,15.911,14.085,13.391
274.438921,-13.909284,15.934,14.709,13.76
274.426778,-13.884873,16.21,14.254,13.574
274.427573,-13.804192,15.676,13.584,12.682
274.435009,-13.863243,15.493,13.282,12.375
274.418314,-13.848775,14.634,13.204,12.459
274.425618,-13.775337,15.091,12.627,13.194
274.425325,-13.781126,17.224,14.816,13.781
274.435291,-13.895951,17.205,14.987,14.127
274.422565,-13.824449,15.977,14.246,13.534
274.430995,-13.882291,15.746,13.803,12.941
274.434654,-13.723621,14.621,13.992,13.865
274.423689,-13.804096,17.057,14.15,13.066
274.43087,-13.868311,15.681,14.07,13.321
274.43241,-13.869649,14.161,11.998,11.029
274.675641,-14.080564,15.09,13.294,12.655
274.437325,-13.840659,15.672,14.659,13.905
274.435197,-13.796393,16.443,14.797,13.953
274.434291,-13.883884,16.849,15.18,14.389
274.429439,-13.85555,15.291,13.141,12.274
274.425616,-13.852043,15.432,13.138,12.159
274.4244,-13.861465,16.27,14.81,14.019
274.435142,-13.857912,15.189,14.429,13.823
274.433826,-13.718907,15.92,14.383,13.379
274.433514,-13.859305,15.787,13.997,13.088
274.435348,-13.849176,15.365,12.902,12.024
274.437104,-13.865854,15.962,14.128,13.195
274.426803,-13.790517,15.74,12.878,11.504
